2023/06/07 16:28:38,484 [INFO ]  [org.apache.juli.logging.DirectJDKLog] [restartedMain]- Starting Servlet engine: [Apache Tomcat/9.0.75]
 -2023/06/07 16:37:15,228 [INFO ]  [org.springframework.boot.StartupInfoLogger] [restartedMain]- Started DemoApplication in 1.244 seconds (JVM running for 1.633)
 -2023/06/07 16:37:17,997 [INFO ]  [org.apache.juli.logging.DirectJDKLog] [http-nio-3000-exec-2]- Initializing Spring DispatcherServlet 'dispatcherServlet'
 -2023/06/07 16:37:17,997 [INFO ]  [org.springframework.web.servlet.FrameworkServlet] [http-nio-3000-exec-2]- Initializing Servlet 'dispatcherServlet'
 -2023/06/07 16:37:17,997 [INFO ]  [org.springframework.web.servlet.FrameworkServlet] [http-nio-3000-exec-2]- Completed initialization in 0 ms
 -2023/06/07 16:37:18,062 [ERROR]  [com.example.demo.controller.ExceptionController] [http-nio-3000-exec-2]- handleMethodArgumentNotValid: Validation failed for argument [0] in public java.lang.String com.example.demo.controller.Prac02Controller.createBoard(com.example.demo.model.Board): [Field error in object 'board' on field 'content': rejected value [null]; codes [NotBlank.board.content,NotBlank.content,NotBlank.java.lang.String,NotBlank]; arguments [org.springframework.context.support.DefaultMessageSourceResolvable: codes [board.content,content]; arguments []; default message [content]]; default message [내용은 공백일 수 없습니다]] 
 -2023/06/07 16:37:18,078 [WARN ]  [org.springframework.web.servlet.handler.AbstractHandlerExceptionResolver] [http-nio-3000-exec-2]- Resolved [org.springframework.web.bind.MethodArgumentNotValidException: Validation failed for argument [0] in public java.lang.String com.example.demo.controller.Prac02Controller.createBoard(com.example.demo.model.Board): [Field error in object 'board' on field 'content': rejected value [null]; codes [NotBlank.board.content,NotBlank.content,NotBlank.java.lang.String,NotBlank]; arguments [org.springframework.context.support.DefaultMessageSourceResolvable: codes [board.content,content]; arguments []; default message [content]]; default message [내용은 공백일 수 없습니다]] ]
 -2023/06/07 16:37:22,942 [ERROR]  [com.example.demo.controller.ExceptionController] [http-nio-3000-exec-1]- handleMethodArgumentNotValid: Validation failed for argument [0] in public java.lang.String com.example.demo.controller.Prac02Controller.createBoard(com.example.demo.model.Board) with 2 errors: [Field error in object 'board' on field 'content': rejected value [null]; codes [NotBlank.board.content,NotBlank.content,NotBlank.java.lang.String,NotBlank]; arguments [org.springframework.context.support.DefaultMessageSourceResolvable: codes [board.content,content]; arguments []; default message [content]]; default message [내용은 공백일 수 없습니다]] [Field error in object 'board' on field 'title': rejected value [null]; codes [NotBlank.board.title,NotBlank.title,NotBlank.java.lang.String,NotBlank]; arguments [org.springframework.context.support.DefaultMessageSourceResolvable: codes [board.title,title]; arguments []; default message [title]]; default message [제목은 공백일 수 없습니다]] 
 -2023/06/07 16:37:22,943 [WARN ]  [org.springframework.web.servlet.handler.AbstractHandlerExceptionResolver] [http-nio-3000-exec-1]- Resolved [org.springframework.web.bind.MethodArgumentNotValidException: Validation failed for argument [0] in public java.lang.String com.example.demo.controller.Prac02Controller.createBoard(com.example.demo.model.Board) with 2 errors: [Field error in object 'board' on field 'content': rejected value [null]; codes [NotBlank.board.content,NotBlank.content,NotBlank.java.lang.String,NotBlank]; arguments [org.springframework.context.support.DefaultMessageSourceResolvable: codes [board.content,content]; arguments []; default message [content]]; default message [내용은 공백일 수 없습니다]] [Field error in object 'board' on field 'title': rejected value [null]; codes [NotBlank.board.title,NotBlank.title,NotBlank.java.lang.String,NotBlank]; arguments [org.springframework.context.support.DefaultMessageSourceResolvable: codes [board.title,title]; arguments []; default message [title]]; default message [제목은 공백일 수 없습니다]] ]
 -2023/06/07 16:37:36,135 [ERROR]  [com.example.demo.controller.ExceptionController] [http-nio-3000-exec-3]- handleHttpRequestMethodNotSupportedException: Request method 'GET' not supported
 -2023/06/07 16:37:36,136 [WARN ]  [org.springframework.web.servlet.handler.AbstractHandlerExceptionResolver] [http-nio-3000-exec-3]- Resolved [org.springframework.web.HttpRequestMethodNotSupportedException: Request method 'GET' not supported]
 -2023/06/07 16:37:42,396 [ERROR]  [com.example.demo.controller.ExceptionController] [http-nio-3000-exec-4]- handleMethodArgumentNotValid: Validation failed for argument [0] in public java.lang.String com.example.demo.controller.Prac02Controller.createBoard(com.example.demo.model.Board) with 2 errors: [Field error in object 'board' on field 'content': rejected value [null]; codes [NotBlank.board.content,NotBlank.content,NotBlank.java.lang.String,NotBlank]; arguments [org.springframework.context.support.DefaultMessageSourceResolvable: codes [board.content,content]; arguments []; default message [content]]; default message [내용은 공백일 수 없습니다]] [Field error in object 'board' on field 'title': rejected value [null]; codes [NotBlank.board.title,NotBlank.title,NotBlank.java.lang.String,NotBlank]; arguments [org.springframework.context.support.DefaultMessageSourceResolvable: codes [board.title,title]; arguments []; default message [title]]; default message [제목은 공백일 수 없습니다]] 
